frame_index,face_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2
914,920,480,188,501,213
916,921,125,59,207,161
916,922,480,188,501,213
918,923,292,68,420,237
918,924,484,90,587,233
918,925,87,85,191,209
918,926,418,33,480,118
918,927,185,49,238,122
918,928,221,224,274,287
918,929,272,11,313,64
918,930,399,0,440,48
918,931,88,-11,126,38
918,932,209,-6,240,32
918,933,325,9,353,44
920,934,292,69,420,236
920,935,487,93,589,235
920,936,85,83,189,208
920,937,419,37,482,117
920,938,187,48,239,120
920,939,88,-15,128,38
920,940,275,13,315,64
920,941,399,0,442,48
920,942,210,-7,240,31
920,943,325,10,352,43
920,944,484,65,502,88
922,945,291,65,422,239
922,946,85,72,190,205
922,947,490,99,590,235
922,948,417,35,481,116
922,949,188,48,239,121
922,950,276,11,316,64
922,951,399,0,442,48
922,952,89,-11,127,36
922,953,211,-6,241,31
922,954,324,8,353,43
922,955,485,64,507,92
924,956,299,70,419,235
924,957,490,97,591,235
924,958,84,76,190,207
924,959,420,33,484,115
924,960,188,48,241,121
924,961,399,-1,442,47
924,962,274,9,314,62
924,963,91,-11,127,34
924,964,211,-9,242,30
924,965,325,8,354,43
926,966,300,70,420,234
926,967,493,91,595,228
926,968,91,70,190,203
926,969,421,31,484,112
926,970,191,44,247,122
926,971,274,7,315,61
926,972,398,-3,441,47
926,973,90,-18,127,31
926,974,213,-9,242,28
926,975,324,7,352,41
928,976,302,68,423,230
928,977,83,67,187,204
928,978,503,89,596,223
928,979,422,30,485,110
928,980,194,48,248,119
928,981,274,5,312,58
928,982,231,229,272,276
928,983,398,-2,439,45
928,984,90,-17,128,29
928,985,211,-10,242,28
928,986,324,8,355,42
930,987,301,68,421,231
930,988,81,68,182,201
930,989,500,91,599,222
930,990,421,29,486,114
930,991,192,39,249,118
930,992,270,-6,310,49
930,993,231,230,272,275
930,994,208,1,245,51
930,995,92,-19,129,27
930,996,405,-8,436,31
930,997,215,-9,244,25
930,998,325,7,354,41
962,999,427,54,563,218
964,1000,437,73,570,230
966,1001,437,79,570,239
968,1002,443,71,580,241
970,1003,463,74,581,237
974,1004,372,276,422,338
978,1005,477,9,628,217
980,1006,472,-4,626,204
982,1007,269,37,330,128
984,1008,263,33,323,126
986,1009,252,34,317,129
988,1010,240,41,304,133
990,1011,230,49,297,143
992,1012,225,54,296,148
994,1013,225,63,293,150
996,1014,228,58,301,152
998,1015,238,53,309,146
998,1016,309,91,341,134
1000,1017,234,49,309,149
1002,1018,227,54,305,152
1004,1019,223,56,299,159
1006,1020,224,61,299,161
1008,1021,227,68,303,163
1036,1022,109,62,140,99
1038,1023,109,58,139,98
1042,1024,106,51,134,86
1044,1025,93,212,138,271
1044,1026,105,48,132,83
1046,1027,100,43,129,81
1048,1028,100,43,128,80
1050,1029,97,37,127,79
1052,1030,95,36,126,78
1054,1031,96,33,126,73
1056,1032,97,36,128,77
1058,1033,100,32,127,71
1060,1034,99,32,126,67
1078,1035,108,31,138,69
1080,1036,110,31,135,64
1094,1037,146,54,289,224
1096,1038,149,53,298,232
1098,1039,158,58,306,242
1100,1040,162,50,318,239
1102,1041,159,46,319,245
1104,1042,153,42,324,249
1106,1043,151,38,329,250
1108,1044,158,38,333,251
1110,1045,166,39,336,246
1112,1046,170,37,344,252
1114,1047,174,44,343,246
1282,1048,357,36,512,225
1284,1049,359,35,516,228
1286,1050,361,37,516,225
1288,1051,371,39,519,227
1290,1052,372,40,521,228
1292,1053,369,35,522,230
1294,1054,368,46,520,230
1296,1055,372,45,526,234
1298,1056,372,43,527,231
1298,1057,60,71,218,253
1300,1058,374,42,531,232
1302,1059,58,55,228,256
1302,1060,375,40,534,233
1304,1061,57,55,231,260
1304,1062,377,39,538,237
1306,1063,528,188,579,258
1306,1064,114,220,167,284
1306,1065,313,52,360,110
1308,1066,528,187,581,259
1308,1067,119,221,168,284
1308,1068,311,53,358,110
1310,1069,528,186,582,260
1310,1070,115,222,167,285
1310,1071,311,53,359,110
1312,1072,528,188,583,260
1312,1073,115,222,167,287
1312,1074,309,53,358,112
1314,1075,528,188,582,260
1314,1076,116,223,168,287
1314,1077,310,53,359,112
1316,1078,526,187,580,259
1316,1079,114,220,167,285
1316,1080,308,55,357,113
1318,1081,525,189,580,261
1318,1082,113,221,164,284
1318,1083,307,55,356,114
